 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
169,3,36,926.371,336.490,0,3.502,7.245,67.712,698.645,7591.656,30.648
170,3,37,954.184,385.249,0,3.724,7.631,68.421,671.232,6958.671,11.653
171,3,38,973.975,341.007,0,3.605,8.242,77.553,789.731,8445.222,14.139
172,3,40,978.922,329.406,0,3.369,6.934,60.153,576.568,5870.425,14.643
173,3,42,1004.857,351.627,0,4.668,6.332,54.694,549.911,5937.243,17.817
174,3,44,987.530,354.480,0,4.637,5.608,42.883,381.674,3704.761,0.013
175,3,45,1020.381,348.026,0,4.225,8.317,76.613,751.984,7733.045,6.511
176,3,46,912.336,348.744,0,2.911,7.108,59.355,554.769,5594.430,15.457
177,3,47,918.482,324.984,0,4.543,8.990,87.066,888.808,9439.014,3.124E-8
178,3,48,978.926,337.914,0,4.396,7.866,70.225,676.970,6873.111,18.721
179,3,49,997.963,369.914,0,4.489,7.339,69.520,718.566,7737.793,4.977
180,3,50,882.040,377.812,0,3.728,8.529,82.448,851.376,9142.776,3.200E-4
181,3,51,889.352,309.577,0,3.283,7.649,67.352,647.972,6626.337,0.142
182,3,54,980.351,325.648,0,5.069,7.047,61.675,600.997,6207.891,0.623
183,3,55,920.277,332.933,0,4.021,6.965,60.044,577.359,5949.732,37.131
184,3,56,995.774,335.880,0,4.581,7.356,62.782,585.340,5797.847,0.243
185,3,57,1115.988,321.901,0,4.694,7.002,61.739,599.588,6142.917,13.795
186,3,58,1239.029,282.163,0,3.969,7.107,61.386,588.555,5993.483,4.982
187,3,59,1178.022,450.005,0,3.650,6.586,56.028,543.569,5682.907,29.786
188,3,60,1164.518,471.541,0,3.792,8.406,76.805,745.609,7570.079,8.299
189,3,62,1219.568,551.440,0,4.060,6.432,54.435,521.597,5348.100,26.384
190,3,63,1171.865,505.177,0,3.608,7.102,62.115,602.973,6216.377,5.731
191,3,64,1209.048,453.346,0,3.707,5.668,43.251,386.335,3793.409,2.539
192,3,66,1133.091,446.422,0,4.466,6.990,59.194,565.329,5806.827,1.010
193,3,67,1155.369,440.262,0,4.100,5.695,46.400,449.944,4755.193,5.605E-7
194,3,68,1215.745,374.423,0,6.111,5.193,34.101,261.232,2232.639,0.073
195,3,69,1201.738,352.691,0,6.315,4.779,33.472,289.070,2798.298,0.022
196,3,70,1209.496,178.671,0,4.350,6.078,48.957,453.386,4530.805,6.435E-4
197,3,71,1374.760,464.503,0,5.596,5.059,37.428,340.786,3467.164,3.571
198,3,72,1388.525,451.443,0,7.927,5.590,40.501,345.155,3261.930,8.046E-17
199,3,73,1401.797,448.727,0,6.423,4.153,24.411,186.167,1705.134,9.897E-41
200,3,74,1492.645,492.861,0,4.103,6.456,53.318,505.107,5182.492,0.064
201,3,75,1491.712,478.986,0,3.692,5.363,41.448,385.811,3966.149,8.823E-8
202,3,76,1652.635,380.697,0,4.875,5.508,43.549,411.761,4274.398,0.010
203,3,77,1487.541,470.572,0,3.988,7.328,68.935,719.978,7897.327,21.469
204,3,78,1629.152,400.754,0,4.397,7.592,68.228,673.227,7023.679,0.679
205,3,79,1619.694,458.550,0,5.129,7.100,62.885,621.714,6536.829,0.261
206,3,80,1639.007,551.916,0,4.578,6.242,51.662,492.476,5063.404,3.084
207,3,81,1483.781,477.687,0,4.534,5.054,36.936,329.764,3291.587,1.564E-24
208,3,82,1433.379,668.601,0,5.213,4.830,35.660,326.950,3333.601,2.355E-5
209,3,83,1426.686,670.926,0,6.642,5.240,37.653,321.952,3054.599,3.412E-6
210,3,84,1487.896,459.283,0,4.488,5.874,49.853,489.149,5122.191,4.664
211,3,85,1272.395,575.909,0,3.754,6.848,59.548,582.810,6109.397,7.463
212,3,86,1433.860,678.638,0,6.972,6.931,57.001,527.953,5299.448,8.302
213,3,87,1279.975,643.957,0,3.986,7.537,67.863,667.248,6910.782,15.810
214,3,89,1433.976,677.388,0,6.845,5.843,43.490,377.941,3646.581,4.656E-5
215,3,90,1431.259,683.267,0,6.686,6.329,51.193,472.312,4713.730,3.084E-4
216,3,91,1412.910,671.710,0,5.560,5.329,36.674,298.160,2739.688,0.004
217,3,92,1417.678,666.203,0,5.930,5.940,45.089,399.818,3917.039,0.031
218,3,93,1418.055,664.317,0,6.206,4.455,31.166,276.169,2731.982,10.719
219,3,94,1252.494,790.180,0,4.654,5.745,45.145,421.077,4333.404,1.601E-5
